,男童,,,,,女童,,,,
"身高
(cm)",中位数,-2SD瘦,＋1SD超,＋2SD肥,＋3SD 中重,中位数,-2SD瘦,＋1SD超,＋2SD肥,＋3SD 中重
65,7.4,,8.1,8.8,9.6,7.2,,7.9,8.7,9.7
66,7.7,,8.3,9.1,9.9,7.5,,8.2,9,10
67,7.9,,8.6,9.4,10.2,7.7,,8.4,9.3,10.2
68,8.1,,8.8,9.6,10.5,7.9,,8.7,9.5,10.5
69,8.4,,9.1,9.9,10.8,8.1,,8.9,9.8,10.8
70,8.6,,9.3,10.2,11.1,8.3,,9.1,10,11.1
71,8.8,,9.6,10.4,11.4,8.5,,9.3,10.3,11.3
72,9,,9.8,10.7,11.7,8.7,,9.5,10.5,11.6
73,9.2,,10,11,12,8.9,,9.8,10.7,11.8
74,9.4,,10.3,11.2,12.2,9.1,,10,11,12.1
75,9.6,,10.5,11.4,12.5,9.3,,10.2,11.2,12.3
76,9.8,,10.7,11.7,12.8,9.5,,10.4,11.4,12.6
77,10,,10.9,11.9,13,9.6,,10.6,11.6,12.8
78,10.2,,11.1,12.1,13.3,9.8,,10.8,11.8,13.1
79,10.4,,11.3,12.3,13.5,10,,11,12.1,13.3
80,10.6,,11.5,12.6,13.7,10.2,,11.2,12.3,13.6
81,10.8,,11.7,12.8,14,10.4,,11.4,12.6,13.9
82,11,,11.9,13,14.2,10.7,,11.7,12.8,14.1
83,11.2,,12.2,13.3,14.5,10.9,,11.9,13.1,14.5
84,11.4,,12.4,13.5,14.8,11.1,,12.2,13.4,14.8
85,11.7,,12.7,13.8,15.1,11.4,,12.5,13.7,15.1
86,11.9,,12.9,14.1,15.4,11.6,,12.7,14,15.4
87,12.2,,13.2,14.4,15.7,11.9,,13,14.3,15.8
88,12.4,,13.5,14.7,16,12.1,,13.3,14.6,16.1
89,12.6,,13.7,14.9,16.3,12.4,,13.6,14.9,16.4
90,12.9,,14,15.2,16.6,12.6,,13.8,15.2,16.8
91,13.1,,14.2,15.5,16.9,12.9,,14.1,15.5,17.1
92,13.4,,14.5,15.8,17.2,13.1,,14.4,15.8,17.4
93,13.6,,14.7,16,17.5,13.4,,14.7,16.1,17.8
94,13.8,,15,16.3,17.8,13.6,,14.9,16.4,18.1
95,14.1,,15.3,16.6,18.1,13.9,,15.2,16.7,18.5
96,14.3,,15.5,16.9,18.4,14.1,,15.5,17,18.8
97,14.6,,15.8,17.2,18.8,14.4,,15.8,17.4,19.2
98,14.8,,16.1,17.5,19.1,14.7,,16.1,17.7,19.5
99,15.1,,16.4,17.9,19.5,14.9,,16.4,18,19.9
100,15.4,,16.7,18.2,19.9,15.2,,16.7,18.4,20.3
101,15.6,,17,18.5,20.3,15.5,,17,18.7,20.7
102,15.9,,17.3,18.9,20.7,15.8,,17.4,19.1,21.1
103,16.2,,17.7,19.3,21.1,16.1,,17.7,19.5,21.6
104,16.5,,18,19.7,21.6,16.4,,18.1,19.9,22
105,16.8,,18.4,20.1,22,16.8,,18.4,20.3,22.5
106,17.2,,18.7,20.5,22.5,17.1,,18.8,20.8,23
107,17.5,,19.1,20.9,22.9,17.5,,19.2,21.2,23.5
108,17.8,,19.5,21.3,23.4,17.8,,19.6,21.7,24
109,18.2,,19.8,21.8,23.9,18.2,,20,22.1,24.5
110,18.5,,20.2,22.2,24.4,18.6,,20.5,22.6,25.1
111,18.9,,20.7,22.7,25,19,,20.9,23.1,25.7
112,19.2,,21.1,23.1,25.5,19.4,,21.4,23.6,26.2
113,19.6,,21.5,23.6,26,19.8,,21.8,24.2,26.8
114,20,,21.9,24.1,26.6,20.2,,22.3,24.7,27.4
115,20.4,,22.4,24.6,27.2,20.7,,22.8,25.2,28.1
116,20.8,,22.8,25.1,27.8,21.1,,23.3,25.8,28.7
117,21.2,,23.3,25.6,28.3,21.5,,23.8,26.3,29.3
118,21.6,,23.7,26.1,28.9,22,,24.2,26.9,29.9
119,22,,24.1,26.6,29.5,22.4,,24.7,27.4,30.6
120,22.4,,24.6,27.2,30.1,22.8,,25.2,28,31.2
